ProductId,ProductCategory,ChannelId,Amount,Value,PricingStrategy,FraudResult,Transaction Date,Transaction Day,Transaction Time,AmountAbs
ProductId_10,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,Thursday,02:18:49,1000.0
ProductId_6,financial_services,ChannelId_2,-20.0,20,2,0,2018-11-15,Thursday,02:19:08,20.0
ProductId_1,airtime,ChannelId_3,500.0,500,2,0,2018-11-15,Thursday,02:44:21,500.0
ProductId_21,utility_bill,ChannelId_3,20000.0,21800,2,0,2018-11-15,Thursday,03:32:55,20000.0
ProductId_6,financial_services,ChannelId_2,-644.0,644,2,0,2018-11-15,Thursday,03:34:21,644.0
ProductId_3,airtime,ChannelId_3,2000.0,2000,2,0,2018-11-15,Thursday,03:35:10,2000.0
ProductId_3,airtime,ChannelId_3,10000.0,10000,4,0,2018-11-15,Thursday,03:44:31,10000.0
ProductId_6,financial_services,ChannelId_2,-500.0,500,2,0,2018-11-15,Thursday,03:45:13,500.0
ProductId_10,airtime,ChannelId_3,500.0,500,2,0,2018-11-15,Thursday,04:14:59,500.0
ProductId_15,financial_services,ChannelId_3,600.0,600,2,0,2018-11-15,Thursday,04:31:48,600.0
ProductId_3,airtime,ChannelId_3,890.0,890,2,0,2018-11-15,Thursday,04:32:08,890.0
ProductId_6,financial_services,ChannelId_2,-40.0,40,2,0,2018-11-15,Thursday,04:32:42,40.0
ProductId_15,financial_services,ChannelId_3,600.0,600,2,0,2018-11-15,Thursday,04:35:10,600.0
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2,0,2018-11-15,Thursday,04:47:31,4000.0
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2,0,2018-11-15,Thursday,04:48:09,4000.0
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2,0,2018-11-15,Thursday,04:51:20,4000.0
ProductId_15,financial_services,ChannelId_3,500.0,500,2,0,2018-11-15,Thursday,04:52:37,500.0
ProductId_11,data_bundles,ChannelId_3,1000.0,1000,2,0,2018-11-15,Thursday,04:54:00,1000.0
ProductId_6,financial_services,ChannelId_2,-10.0,10,2,0,2018-11-15,Thursday,04:54:18,10.0
ProductId_3,airtime,ChannelId_3,500.0,500,4,0,2018-11-15,Thursday,04:56:25,500.0
ProductId_6,financial_services,ChannelId_2,-25.0,25,2,0,2018-11-15,Thursday,04:57:00,25.0
ProductId_3,airtime,ChannelId_3,500.0,500,4,0,2018-11-15,Thursday,04:59:02,500.0
ProductId_6,financial_services,ChannelId_2,-25.0,25,2,0,2018-11-15,Thursday,04:59:41,25.0
ProductId_3,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,Thursday,04:59:51,1000.0
ProductId_10,airtime,ChannelId_3,500.0,500,2,0,2018-11-15,Thursday,05:06:25,500.0
ProductId_6,financial_services,ChannelId_2,-10.0,10,2,0,2018-11-15,Thursday,05:06:39,10.0
ProductId_3,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,Thursday,05:37:24,1000.0
ProductId_19,tv,ChannelId_3,3500.0,3500,2,0,2018-11-15,Thursday,05:38:25,3500.0
ProductId_6,financial_services,ChannelId_2,-70.0,70,2,0,2018-11-15,Thursday,05:38:35,70.0
ProductId_15,financial_services,ChannelId_3,2000.0,2000,2,0,2018-11-15,Thursday,05:38:37,2000.0
ProductId_4,airtime,ChannelId_3,2000.0,2000,2,0,2018-11-15,Thursday,05:43:41,2000.0
ProductId_6,financial_services,ChannelId_2,-100.0,100,2,0,2018-11-15,Thursday,05:44:06,100.0
ProductId_15,financial_services,ChannelId_3,10000.0,10000,2,0,2018-11-15,Thursday,05:49:37,10000.0
